trust_vs_disgust,surprise_vs_antecip,tweet_id,joy_vs_sadness,key,created_date,annotator_id,anger_vs_fear
dontknow,dontknow,460784899197505536,dontknow,4506964298039296,2017-01-24T15:26:35,6503,dontknow
DIS,ANT,461524178286706689,SAD,4506991678455808,2017-01-20T17:00:53,3318,ANG
neutral,neutral,445626040573255680,neutral,4507113078390784,2016-06-17T05:09:02,2,neutral
DIS,dontknow,447046296122445825,SAD,4507165893066752,2017-01-20T13:07:42,7413,neutral
neutral,neutral,447045857310179328,neutral,4507175892287488,2016-06-17T05:16:19,2,neutral
dontknow,dontknow,459919924212006912,dontknow,4507269509152768,2017-01-24T16:18:34,6503,dontknow
TRU,dontknow,453299218325970944,neutral,4507613106536448,2017-01-20T14:58:33,8910,neutral
TRU,neutral,470323549660798976,neutral,4507750813925376,2017-01-22T18:46:22,9118,neutral
neutral,dontknow,451381068462309376,neutral,4508166754664448,2017-04-10T22:07:10,2,ANG
neutral,neutral,456058945401266176,neutral,4508249701220352,2017-02-06T00:43:01,5367,neutral
TRU,ANT,450985846620319745,JOY,4508364725813248,2017-02-03T23:53:45,7590,dontknow
neutral,neutral,448924122459160577,neutral,4508381368811520,2017-01-21T18:39:27,6503,neutral
neutral,neutral,446612137251975168,neutral,4509050511294464,2016-06-17T05:16:13,2,neutral
neutral,neutral,456049079987212289,neutral,4509110439510016,2017-01-24T16:24:05,7649,neutral
DIS,neutral,443552169904832512,SAD,4509193922936832,2017-01-22T19:28:20,6371,neutral
TRU,neutral,453236976133865472,JOY,4509218417672192,2017-01-24T17:18:49,2564,neutral
DIS,SUR,443099054164439040,neutral,4509379143401472,2017-01-01T19:12:04,8309,FEA
dontknow,dontknow,456407462023671808,dontknow,4509877896478720,2017-01-20T16:12:14,3944,dontknow
TRU,neutral,457754481489641472,JOY,4510173309698048,2017-01-30T00:51:16,7649,neutral
neutral,neutral,446695797019922432,neutral,4510188409192448,2016-06-17T05:17:31,2,neutral
neutral,neutral,460775523166461953,neutral,4510655419777024,2017-01-25T19:33:19,2994,neutral
TRU,SUR,461092034665656320,JOY,4510739842727936,2017-01-30T14:55:40,4136,neutral
dontknow,dontknow,469977282673926144,dontknow,4511217926275072,2017-01-20T15:02:25,9603,dontknow
neutral,neutral,469515091541770241,JOY,4511323958280192,2017-01-20T15:09:18,1648,neutral
TRU,ANT,455817307626147841,JOY,4511822442921984,2017-01-23T00:18:14,9704,neutral
TRU,SUR,441216148625833984,JOY,4511933306765312,2016-12-28T01:27:58,955,neutral
TRU,SUR,445687170125549568,neutral,4511989946646528,2017-01-26T20:51:56,7649,neutral
TRU,neutral,453550956282904576,neutral,4512011153047552,2017-01-23T20:20:42,3181,neutral
DIS,ANT,458623886343823361,neutral,4512143760162816,2017-01-21T15:57:57,7649,FEA
DIS,neutral,468803201006055424,SAD,4512145639211008,2017-01-20T16:46:10,2799,FEA
neutral,dontknow,460825538517794816,dontknow,4512646808207360,2017-01-23T00:34:24,638,neutral
TRU,SUR,441589989944860673,JOY,4512779415322624,2017-01-20T14:22:07,261,neutral
neutral,neutral,455799739674415105,neutral,4513128112979968,2017-01-21T19:52:02,6428,neutral
dontknow,dontknow,465353857800097792,dontknow,4513226628792320,2017-01-26T14:24:34,5910,dontknow
DIS,SUR,441675472393744384,SAD,4513508486021120,2017-01-23T19:51:52,6406,ANG
neutral,neutral,444458999078203392,neutral,4513545261678592,2017-01-20T14:24:50,5586,FEA
neutral,neutral,450744132668239872,neutral,4513561367805952,2017-01-20T14:36:47,9192,neutral
neutral,ANT,451713489749307392,neutral,4513591969447936,2017-01-20T16:11:27,6539,neutral
dontknow,dontknow,445694232062222336,neutral,4513616464183296,2017-01-23T16:35:13,9913,neutral
neutral,neutral,458702674423083008,neutral,4513731824320512,2017-01-30T20:10:12,2891,neutral
neutral,neutral,459743147644686336,neutral,4513829266391040,2017-01-22T18:51:15,6858,neutral
neutral,neutral,459818537717334016,neutral,4513890603892736,2017-01-21T15:13:10,7842,neutral
DIS,SUR,460874837276491777,SAD,4513933553565696,2017-02-05T00:06:57,7649,ANG
neutral,neutral,466308784236007424,neutral,4514516461158400,2017-01-24T15:16:33,6503,neutral
TRU,neutral,449256028455325696,neutral,4514741007417344,2017-01-21T18:55:59,7649,neutral
dontknow,dontknow,453157381456031744,dontknow,4515158827204608,2017-01-29T18:43:34,7609,FEA
neutral,neutral,458688198580137984,neutral,4515323915010048,2017-01-21T12:42:18,9568,neutral
dontknow,dontknow,441988161372446720,dontknow,4515452764028928,2017-01-26T01:56:44,3683,dontknow
DIS,SUR,446740477451448320,neutral,4515970106261504,2016-12-27T22:51:25,7756,FEA
TRU,SUR,448905742108856321,JOY,4516007351681024,2017-01-30T14:51:17,4136,neutral
neutral,neutral,448798586508046336,neutral,4516138348183552,2017-01-20T15:12:04,5257,neutral
DIS,neutral,448892528763219968,neutral,4516220489433088,2017-01-20T16:47:09,7229,ANG
DIS,ANT,462283126946140161,neutral,4516497783259136,2017-01-28T00:07:44,9276,neutral
neutral,dontknow,441650728227340288,JOY,4516541806673920,2017-01-20T13:43:34,5859,dontknow
neutral,SUR,445942735087104001,neutral,4516546906947584,2017-01-23T21:52:09,5524,neutral
neutral,neutral,447485591756632065,neutral,4516619384520704,2017-01-23T18:57:34,1656,neutral
neutral,neutral,459334694711336960,neutral,4516699512504320,2017-01-26T17:58:47,5501,neutral
TRU,ANT,441604670788599808,neutral,4516711256555520,2016-06-17T05:11:01,2,neutral
TRU,SUR,449217412345626624,JOY,4516935064616960,2017-01-28T00:11:32,6503,neutral
neutral,dontknow,458607888601460736,dontknow,4517078207823872,2017-01-20T14:49:16,4508,FEA
TRU,ANT,455828296358690817,neutral,4517220411506688,2017-01-29T15:32:18,7649,FEA
neutral,neutral,449260261221093378,neutral,4517943308189696,2017-01-23T16:32:53,7471,neutral
TRU,neutral,456520634059595776,JOY,4517959414317056,2017-01-23T14:24:14,6549,neutral
neutral,neutral,446975948576260096,neutral,4518071620337664,2017-01-29T21:55:02,3331,neutral
DIS,neutral,449173739771809792,SAD,4518264625430528,2017-01-23T14:14:11,1195,FEA
TRU,ANT,451065886502580226,neutral,4518489440124928,2017-01-29T16:43:30,7649,neutral
neutral,neutral,456213494531362816,neutral,4518673989500928,2017-01-22T19:22:49,6371,neutral
neutral,neutral,449310295400255488,neutral,4518745930203136,2017-01-20T15:47:49,3867,neutral
DIS,SUR,443026437420113920,SAD,4518818407776256,2017-01-20T15:17:26,5900,FEA
DIS,ANT,459089851821096960,SAD,4518930613796864,2017-01-27T14:33:45,9279,ANG
neutral,neutral,441623888578240512,neutral,4519062415605760,2016-12-28T03:16:42,9839,neutral
neutral,ANT,451055062308376576,neutral,4519114022322176,2017-01-20T14:37:27,2319,neutral
neutral,neutral,452138852732649472,neutral,4519139053928448,2017-01-24T12:20:51,6503,neutral
DIS,neutral,443023002339655681,neutral,4519247971614720,2016-06-17T05:10:35,2,ANG
neutral,neutral,464507794562236416,neutral,4519669616607232,2016-11-11T01:18:38,2,neutral
DIS,ANT,441560681247412225,SAD,4519721961521152,2017-01-24T11:26:39,567,FEA
neutral,neutral,468755971859546112,neutral,4520536394694656,2017-01-23T20:18:01,3181,neutral
neutral,neutral,450641668216479745,neutral,4520613435670528,2017-01-20T14:15:57,9280,neutral
neutral,neutral,459037552989966336,neutral,4520740002988032,2017-02-01T19:11:45,6962,neutral
DIS,SUR,456411922074566656,neutral,4520941732233216,2017-01-23T00:30:49,638,FEA
TRU,neutral,442035278715166720,neutral,4521020920692736,2016-12-28T03:07:06,9839,neutral
dontknow,dontknow,457104428223713280,dontknow,4521354049093632,2017-01-24T15:21:40,6503,dontknow
DIS,ANT,441583786737025024,neutral,4521580608618496,2017-01-23T17:22:05,2105,FEA
neutral,ANT,456794505094520832,neutral,4521618458017792,2017-01-26T20:41:49,7649,neutral
neutral,neutral,448839735881256960,neutral,4521875417858048,2016-06-17T05:12:40,2,neutral
dontknow,dontknow,469543211510542336,dontknow,4521924206002176,2017-01-20T15:26:00,9192,dontknow
TRU,ANT,441250681228255232,JOY,4522046411243520,2016-10-14T14:54:14,3,neutral
DIS,ANT,448880775761772545,neutral,4522189151797248,2016-12-28T01:29:51,3482,FEA
DIS,ANT,460859617971814400,SAD,4522686696914944,2017-01-20T14:52:39,7649,neutral
TRU,SUR,453151387845951488,JOY,4522887486636032,2017-01-26T12:22:15,6503,neutral
neutral,neutral,455747320068308992,neutral,4522960366862336,2017-01-25T17:29:19,1224,neutral
DIS,neutral,450766119155286016,SAD,4523240881913856,2017-01-20T13:12:33,7174,ANG
dontknow,dontknow,448881198195294208,dontknow,4523430934216704,2017-01-20T13:11:09,9196,dontknow
DIS,neutral,459377880825610240,neutral,4523675277590528,2017-01-22T21:24:08,3760,neutral
neutral,neutral,442013763487948800,dontknow,4523751446151168,2017-01-10T01:04:46,3482,neutral
dontknow,dontknow,446975526323109888,dontknow,4524120008032256,2017-01-20T15:08:47,1648,dontknow
neutral,ANT,441215991377182720,neutral,4524500649508864,2016-10-20T23:32:30,2,neutral
neutral,neutral,470627104271663104,neutral,4524581985452032,2017-01-23T17:56:43,2105,neutral
neutral,neutral,445993435615744001,neutral,4524599098212352,2016-06-17T05:08:07,2,neutral
neutral,neutral,448083157758140418,neutral,4524751435333632,2016-06-20T01:46:24,2,neutral
TRU,ANT,445615969688616961,JOY,4524934441205760,2017-01-20T13:46:07,1794,neutral
DIS,ANT,446607247507226625,SAD,4525016582455296,2017-01-20T14:38:39,8439,ANG
neutral,neutral,441021651724292097,neutral,4525126976536576,2017-01-17T21:44:00,6484,neutral
DIS,ANT,455319320118460416,neutral,4525205292580864,2017-01-21T15:50:36,7649,neutral
neutral,neutral,462283126946140161,dontknow,4525271059267584,2017-01-24T19:24:39,6503,dontknow
neutral,neutral,444639069839310848,neutral,4525792428032000,2016-06-17T05:11:41,2,neutral
dontknow,dontknow,454593417712902144,dontknow,4525805581369344,2017-01-24T19:24:51,6503,dontknow
DIS,SUR,455673104312721408,neutral,4525840947740672,2017-01-24T16:00:33,8432,neutral
DIS,neutral,456148929336205312,SAD,4525973554855936,2017-01-22T04:01:49,638,neutral
TRU,ANT,441215713227718656,neutral,4526118040240128,2016-10-14T14:52:48,3,neutral
neutral,neutral,443652491469922304,neutral,4526153943482368,2017-01-26T23:48:42,2923,neutral
neutral,neutral,453197006845272064,JOY,4526208435879936,2016-11-11T11:32:14,2,neutral
DIS,ANT,444449194305409024,SAD,4526322252513280,2017-01-23T19:52:51,6406,FEA
dontknow,dontknow,451698214216159232,dontknow,4526503312228352,2017-02-01T10:58:31,6503,dontknow
dontknow,dontknow,459689389082546176,dontknow,4526561495613440,2017-01-22T18:30:58,6503,dontknow
neutral,neutral,452232585507504129,neutral,4526755507339264,2017-01-23T01:28:14,597,neutral
dontknow,dontknow,453233830112268288,dontknow,4527023405924352,2017-01-24T12:30:29,6503,dontknow
neutral,neutral,446724745778954240,neutral,4527060718452736,2017-01-22T18:47:59,6858,neutral
DIS,neutral,459788393640366082,neutral,4527084743426048,2017-01-23T17:51:33,8286,FEA
neutral,SUR,468759827041501184,neutral,4527220974419968,2017-01-30T14:45:14,4136,neutral
DIS,ANT,453998678693675010,SAD,4527470082523136,2017-01-22T01:35:45,6342,neutral
dontknow,dontknow,446285438631043072,dontknow,4527542023225344,2017-01-20T14:11:04,6984,dontknow
dontknow,neutral,449203660829245440,JOY,4527858508627968,2016-12-27T23:24:07,6612,neutral
DIS,neutral,448572562650320897,SAD,4527910115344384,2017-01-20T13:12:44,3793,FEA
dontknow,dontknow,442032117199802368,dontknow,4527953534779392,2017-01-20T12:42:37,6208,dontknow
dontknow,dontknow,456092131678244864,dontknow,4528448261324800,2017-01-27T00:35:58,2923,dontknow
dontknow,dontknow,444219554114195457,dontknow,4528518054543360,2017-01-23T21:48:39,9966,ANG
DIS,SUR,459422824785281024,SAD,4528810112319488,2017-01-21T13:19:09,3506,neutral
DIS,SUR,460127501138681856,neutral,4529238535307264,2017-01-30T01:53:57,7649,FEA
DIS,SUR,456065660704260096,SAD,4529246319935488,2017-02-01T10:54:15,6503,ANG
neutral,neutral,460708193400659968,neutral,4529414628966400,2017-01-23T11:09:38,8857,neutral
TRU,ANT,464092655044268032,SAD,4529552067919872,2017-01-20T14:52:51,7649,FEA
neutral,neutral,450749596755439616,neutral,4529753058967552,2016-06-17T05:17:13,2,neutral
neutral,SUR,458580698329149440,neutral,4529856742162432,2017-01-25T20:12:29,400,neutral
DIS,neutral,441675472393744384,SAD,4530203627880448,2017-01-23T20:01:40,5008,FEA
neutral,neutral,471025204689252352,neutral,4530238994251776,2017-01-23T11:49:47,1125,neutral
neutral,SUR,446258938812833792,neutral,4530371601367040,2017-01-20T15:47:44,3063,neutral
neutral,SUR,444115560981598208,JOY,4530537024716800,2017-01-01T19:03:53,8309,neutral
TRU,ANT,462323742912557057,JOY,4530720299024384,2017-01-22T03:29:12,3593,neutral
DIS,ANT,443111048137424896,SAD,4530959542124544,2017-01-20T16:18:13,8866,neutral
neutral,neutral,452071717905924096,neutral,4531137447723008,2017-01-20T16:17:36,1917,neutral
neutral,neutral,458593676046761984,neutral,4531153553850368,2017-01-20T16:47:05,7409,neutral
TRU,ANT,459041967507124224,neutral,4531184155492352,2017-01-22T00:27:09,9091,neutral
DIS,neutral,442012920621191168,neutral,4531420043149312,2016-06-17T05:11:49,2,neutral
neutral,neutral,459376812175671296,neutral,4531421452435456,2017-01-23T08:51:38,5614,neutral
neutral,dontknow,461521015114571776,dontknow,4531746796208128,2017-01-30T17:06:55,8653,neutral
neutral,neutral,444452587983880192,dontknow,4531868129034240,2017-01-20T14:14:07,5389,FEA
neutral,neutral,441552736673218561,neutral,4532124753330176,2017-01-25T17:40:58,6503,neutral
neutral,neutral,464115051931402240,neutral,4532333193461760,2017-01-22T12:45:27,2937,neutral
TRU,SUR,453155882227232769,neutral,4532471370612736,2017-01-23T20:20:53,1033,FEA
TRU,neutral,441215926608736256,JOY,4532710747930624,2016-12-27T23:21:59,7659,neutral
TRU,SUR,449161247217704960,JOY,4532887378460672,2017-01-20T17:05:00,3063,neutral
dontknow,dontknow,458983719186210816,dontknow,4533044950073344,2017-01-26T18:59:09,5501,dontknow
neutral,neutral,443765957719515136,neutral,4533314190835712,2017-01-20T13:44:25,7171,FEA
dontknow,dontknow,460887445442027520,dontknow,4533378078474240,2017-01-24T19:32:03,6503,dontknow
neutral,neutral,444123736917409792,neutral,4533379957522432,2017-01-23T18:57:41,2369,neutral
DIS,ANT,466606458487209984,SAD,4533730534227968,2017-01-21T15:26:09,7649,ANG
neutral,SUR,456100881294176256,neutral,4534133992718336,2017-01-20T15:04:36,1648,neutral
dontknow,dontknow,443372980152709120,dontknow,4534135871766528,2017-01-20T14:55:30,1648,dontknow
TRU,neutral,469104796453314561,JOY,4534323776585728,2017-01-31T00:41:26,5367,neutral
DIS,neutral,472334907549954048,neutral,4534670393868288,2017-01-20T16:59:31,8866,neutral
neutral,neutral,461152862169726976,neutral,4534742804332544,2017-01-20T16:05:02,2735,neutral
neutral,neutral,441235701271912448,neutral,4534786022440960,2016-10-14T14:53:56,3,neutral
TRU,neutral,448567579129303040,neutral,4535056135618560,2016-06-17T05:15:56,2,neutral
dontknow,dontknow,463383762349617152,dontknow,4535118345535488,2017-01-24T16:22:45,6503,dontknow
TRU,SUR,452448878013743105,SAD,4535216861347840,2017-01-30T01:50:28,7649,neutral
neutral,neutral,441553962857025537,neutral,4535578980777984,2017-01-20T14:26:40,6559,neutral
neutral,neutral,471038745169637376,neutral,4535582202003456,2017-01-24T14:13:44,6916,neutral
neutral,SUR,448491992272879616,neutral,4536264766259200,2016-06-17T05:14:23,2,neutral
TRU,neutral,441952556370374656,JOY,4536266175545344,2017-01-23T14:15:53,6549,neutral
TRU,SUR,456453761880190976,JOY,4536410593820672,2017-01-21T16:18:24,7649,FEA
dontknow,ANT,447490511918469120,neutral,4536477971120128,2017-01-30T21:28:12,3086,dontknow
DIS,ANT,457210504055123968,SAD,4536598230204416,2017-01-21T15:41:45,6678,neutral
neutral,ANT,451350272934043649,neutral,4536706208366592,2017-01-21T11:48:05,3506,neutral
neutral,ANT,449595298089017344,neutral,4536919010574336,2017-01-20T13:47:41,6501,FEA
neutral,neutral,442067541457117185,neutral,4537604796055552,2016-06-17T05:07:59,2,neutral
dontknow,SUR,455777023689256961,dontknow,4538205621714944,2017-01-20T16:09:02,3944,dontknow
dontknow,dontknow,458779058290315264,dontknow,4538210721988608,2017-01-24T15:24:36,6503,dontknow
DIS,SUR,461589008192380928,SAD,4538348160942080,2017-01-22T04:58:56,2406,neutral
DIS,SUR,446649470361817088,JOY,4538532039229440,2017-01-24T00:42:31,6503,dontknow
neutral,neutral,456403968864686080,neutral,4538533918277632,2017-01-23T12:56:13,2105,neutral
neutral,SUR,443388829706489856,neutral,4538587404042240,2017-01-20T15:48:46,4122,neutral
neutral,neutral,449544099507736577,SAD,4538622770413568,2017-01-20T14:05:53,6559,neutral
DIS,ANT,456436924941467651,neutral,4538689745059840,2017-01-30T00:56:26,7649,ANG
neutral,neutral,446999854901108736,neutral,4538895903490048,2017-01-30T17:01:09,8653,neutral
dontknow,dontknow,455473757335732224,dontknow,4538944356089856,2017-01-24T19:25:51,8321,dontknow
TRU,neutral,453235529258389504,JOY,4539035087273984,2017-01-21T16:00:47,3497,neutral
DIS,ANT,450728896884129792,SAD,4539170915614720,2016-12-28T01:33:29,9539,FEA
TRU,ANT,456896416397672448,neutral,4539172794662912,2017-01-23T11:07:30,7523,neutral
TRU,ANT,443546384562917376,JOY,4539516392046592,2017-01-20T14:25:39,3497,ANG
neutral,ANT,459774133396852736,neutral,4539588869619712,2017-01-20T13:10:33,5359,neutral
neutral,ANT,453551026961149952,neutral,4540004743249920,2017-01-22T14:59:58,4160,neutral
neutral,neutral,443009078449565697,neutral,4540217545457664,2017-01-21T13:02:15,6712,neutral
dontknow,dontknow,444460524752101376,dontknow,4540278882959360,2017-01-20T14:11:31,5439,dontknow
TRU,neutral,448301576525205504,neutral,4540301565755392,2017-01-20T13:16:40,6001,neutral
TRU,neutral,451062012345589760,neutral,4540904740225024,2017-01-23T22:00:57,9966,neutral
DIS,neutral,456154554036264963,neutral,4541246458560512,2017-01-26T14:11:34,9111,ANG
neutral,neutral,455626627750559744,JOY,4541267463634944,2017-01-22T04:09:18,638,neutral
dontknow,dontknow,441920487573442561,dontknow,4541504961904640,2017-02-01T10:57:11,6503,dontknow
dontknow,dontknow,441755888983212032,dontknow,4541547106271232,2017-01-29T00:59:26,4131,dontknow
neutral,neutral,454770378611904512,neutral,4541601598668800,2016-11-15T23:55:40,2,neutral
TRU,ANT,459463367149633536,JOY,4541813931114496,2017-01-30T19:58:07,2891,neutral
dontknow,dontknow,451887387464179712,dontknow,4541954658402304,2017-01-24T16:23:08,6503,dontknow
neutral,neutral,456896416397672448,neutral,4542174171496448,2017-01-23T11:05:59,8857,neutral
TRU,neutral,456593699657367552,JOY,4542176050544640,2017-01-21T19:26:10,8835,neutral
neutral,neutral,449202677998960640,neutral,4542297450479616,2016-06-17T05:16:53,2,neutral
DIS,ANT,450808612433059840,neutral,4542395630747648,2017-01-29T15:19:31,7649,ANG
TRU,ANT,449264243360415744,neutral,4542432674840576,2017-01-27T01:01:04,7649,neutral
DIS,SUR,446338005943324672,SAD,4542608768499712,2017-01-20T13:44:38,5312,dontknow
dontknow,dontknow,450952918947340288,dontknow,4542797478625280,2017-01-20T16:14:09,3944,dontknow
neutral,neutral,450938784801357824,neutral,4542863245312000,2017-01-24T11:18:36,270,neutral
DIS,neutral,460878750767669249,neutral,4543007663587328,2017-01-22T18:51:47,6858,ANG
neutral,neutral,442013854554660864,neutral,4543394546188288,2016-09-05T02:33:37,2,neutral
DIS,neutral,443040108493942784,neutral,4543397767413760,2017-01-24T13:27:59,2105,dontknow
TRU,neutral,443022819564486656,JOY,4543459172024320,2016-12-28T14:40:34,4455,neutral
TRU,dontknow,467369011479859200,dontknow,4543725191561216,2017-01-26T00:01:53,7716,dontknow
neutral,neutral,458776499764875265,neutral,4543914438557696,2017-01-23T13:00:22,6858,neutral
TRU,SUR,444467288595775488,JOY,4544049864245248,2017-01-31T00:17:38,9215,neutral
neutral,ANT,456070198475628544,neutral,4544331587256320,2017-01-22T13:01:47,5503,neutral
neutral,ANT,471054492306120704,neutral,4544459899404288,2017-01-29T00:55:36,4131,neutral
neutral,neutral,446774944983429120,neutral,4544676929470464,2017-01-23T09:47:40,3944,neutral
neutral,dontknow,452077981998260224,neutral,4544950599417856,2017-01-27T13:29:19,2105,neutral
DIS,neutral,463297321254809600,SAD,4545062268567552,2017-01-21T16:24:19,7649,ANG
DIS,neutral,454611598309867520,neutral,4545527332995072,2017-01-23T12:23:00,7731,ANG
dontknow,dontknow,447055470441025537,dontknow,4545665510146048,2017-01-24T13:51:16,6503,dontknow
dontknow,dontknow,461134218333257728,dontknow,4545737920610304,2017-01-24T16:34:39,6503,dontknow
neutral,neutral,445891691942531073,neutral,4545755436023808,2016-06-17T05:13:45,2,neutral
TRU,neutral,447079654432985089,neutral,4546028636209152,2016-12-28T11:04:58,8630,neutral
dontknow,dontknow,443349486921068544,dontknow,4546081517993984,2017-01-22T18:28:26,6503,dontknow
neutral,neutral,458039285275693057,neutral,4546402298363904,2017-01-20T16:12:51,6539,neutral
TRU,ANT,468803201006055424,neutral,4546508330369024,2017-01-20T16:45:27,1794,neutral
dontknow,dontknow,443251532755394560,dontknow,4546574097055744,2017-01-24T14:03:06,6503,dontknow
dontknow,dontknow,456522949986504704,dontknow,4546798643314688,2017-01-25T17:49:12,6503,dontknow
DIS,SUR,466303583311654913,SAD,4546924673761280,2017-01-23T00:19:05,9704,FEA
dontknow,ANT,443028707977216000,dontknow,4547144253964288,2017-01-20T14:14:46,9810,dontknow
TRU,neutral,455799739674415105,JOY,4547330011299840,2017-01-21T18:51:41,7649,neutral
TRU,ANT,459308840195194880,neutral,4547795813924864,2017-01-23T03:31:12,3107,neutral
neutral,ANT,447358522020601857,neutral,4547812658249728,2016-09-23T01:58:36,2,neutral
DIS,dontknow,462203134283378688,neutral,4547963787411456,2017-01-20T15:00:57,6098,FEA
dontknow,dontknow,456072860755189761,dontknow,4547968887685120,2017-01-24T11:52:31,2937,dontknow
neutral,neutral,449617191114387456,neutral,4548070893158400,2016-09-23T01:48:51,2,neutral
neutral,neutral,443740334766710784,neutral,4548551728168960,2017-01-20T15:07:50,5257,neutral
TRU,ANT,458688220092715008,JOY,4548587094540288,2017-01-20T13:21:58,3932,dontknow
TRU,neutral,460940787086544897,neutral,4548729633767424,2017-01-20T15:16:19,1805,neutral
neutral,SUR,449521589277982720,SAD,4548745739894784,2017-01-20T15:30:42,5257,ANG
DIS,SUR,472341672987463681,SAD,4548776341536768,2017-01-21T15:23:26,7649,FEA
neutral,neutral,456155350207434752,neutral,4548800836272128,2017-01-24T01:04:03,6503,neutral
TRU,SUR,441216632107438080,JOY,4548859824963584,2016-12-28T01:24:13,955,neutral
TRU,SUR,456061384275795968,neutral,4549138326749184,2017-01-29T16:59:10,7649,neutral
TRU,neutral,447017283479961600,neutral,4549348645928960,2017-01-26T23:12:02,7649,neutral
DIS,neutral,445604261846851584,neutral,4549613591724032,2017-02-04T14:04:12,5367,dontknow
neutral,neutral,458646061314080768,neutral,4550063556657152,2017-01-23T12:55:23,6858,neutral
TRU,SUR,461138458552320000,neutral,4550322261327872,2017-01-29T17:53:54,7649,neutral
TRU,neutral,451865031995822080,JOY,4550479564505088,2017-01-20T15:57:03,3429,neutral
neutral,ANT,459744836766416897,neutral,4550508287098880,2017-01-21T19:53:59,7065,neutral
dontknow,dontknow,459665910274748416,dontknow,4550970264518656,2017-01-24T14:03:30,6503,dontknow
neutral,neutral,456889392339386368,neutral,4551322720272384,2017-01-20T16:08:58,2735,neutral
TRU,SUR,449300953226039296,JOY,4551358690623488,2017-01-31T22:12:00,4546,neutral
TRU,neutral,459032788180942848,neutral,4551388889612288,2017-02-02T21:44:55,8484,neutral
DIS,neutral,443798603925311488,neutral,4551404861521920,2017-01-21T18:25:28,6503,neutral
neutral,ANT,466289577389719552,dontknow,4551593571647488,2017-01-22T18:39:49,6503,FEA
TRU,neutral,443107790090145792,JOY,4551726178762752,2017-01-20T14:29:38,7229,neutral
TRU,neutral,446337430824943616,JOY,4551728057810944,2017-01-20T14:15:00,6501,neutral
TRU,ANT,446258938812833792,JOY,4552262579912704,2017-01-20T15:47:40,4122,FEA
dontknow,dontknow,455355399106215936,dontknow,4552334990376960,2017-01-20T14:59:59,3618,dontknow
neutral,SUR,446366101790679040,neutral,4552361833922560,2017-01-23T19:25:58,5524,neutral
TRU,SUR,472140893135577089,JOY,4552710531579904,2017-01-24T12:11:27,6111,neutral
neutral,neutral,466312002869395456,neutral,4552949774680064,2017-01-23T13:02:44,970,neutral
TRU,neutral,441595881222332416,neutral,4553145128583168,2016-12-28T14:39:06,4455,neutral
neutral,ANT,448434556337922048,neutral,4553171166822400,2017-01-20T13:54:28,3989,neutral
neutral,neutral,449247329494003713,neutral,4553338737655808,2016-06-17T05:10:04,2,neutral
dontknow,dontknow,444958920105529345,dontknow,4553473022492672,2017-01-24T14:15:09,6503,dontknow
neutral,neutral,452529580122054656,neutral,4553668040851456,2017-02-01T10:57:54,6503,neutral
DIS,neutral,454708583607705600,SAD,4553930302291968,2017-01-21T15:10:59,7842,neutral
dontknow,neutral,456438382630305792,neutral,4554002779865088,2017-01-20T16:25:22,5313,neutral
TRU,SUR,451865031995822080,JOY,4554190416248832,2017-01-20T15:56:46,7286,neutral
